,comment,clean
0,Izin bertnya apakah studi idenpenden mitra programing bisa pindah kelas??,izin bertnya studi idenpenden mitra programing pindah kelas
1,Dapat uang saku gaksih,uang saku gaksih
2,@rwrt1.0 kelas full english kak batch ini,kelas full english batch
3,"Saya, saya bang ga lolos msib",lolos msib
4,🔥🔥,
5,@syanasblaa lanjut dm kak,dm
6,@fajaroktaladi aku,
7,Anak semeater 4 bisa kah ikut?,anak semeater kah
8,Kalau ikut program bangkit hrus bisa Inggris gk sih wkwk jjr aku gk bsa Inggris 😢,program bangkit inggris wkwk jjr inggris
9,@kanianiaaaa27,
10,"@alfie_reza oh oke kak, makasih infonya yaa",oh oke terima kasih info
11,"@mamassss_25 sudah ditutup kak, kebetulan pendaftarannya udah dibuka dari oktober tahun kemarin",tutup daftar buka oktober kemarin
12,"@alfie_reza maaf numpang nanya kak, ini program bangkit pendaftarannya udah ditutup atau baru dibuka ya?",maaf numpang program bangkit daftar tutup buka
13,@una_8 hadirr🔥,hadir
14,Heh nak bangkit @koo.chiko,heh nak bangkit
15,@kahpisiregar undergraduate,undergraduate
16,@hogy_albani oalahh okee mas makasih infonyaa,oalahh okee terima kasih infonyaa
17,"@fajaroktaladi saya mas, cuma keknya gk diterima. Diproses mulu statusnya",kayak terima proses melulu status
18,🔥🔥🔥,
19,@kahpisiregar untuk undergraduate,undergraduate
20,Ada yg ikut stupend di metrodata academy bagian network security gaa? Kalo ada dm dongg mau tanya tanyaa😢,stupend metrodata academy network security dm tanyaa
21,Program bangkit bisa untuk fresh graduate gak ?,program bangkit fresh graduate
22,0011101010101010101,
23,🔥🔥🔥,
24,🔥🔥,
25,🔥🔥,
26,0l0000,
27,🔥🔥,
28,Min pencairan bbh'nya kapan ya? Wkwk,cair bbhnya wkwk
29,Kacau,
30,"@theorifai oalahh, okeokee bang, thanks 🙏",oalahh okeokee terima kasih
31,@ statusnya aktif,status aktif
32,"@theorifai kalo diterima itu tandsnya gimana bang?, Apakah bukan status proses?",terima tandsnya status proses
33,@aokviani16 kemarin dapat email dr KM bahwa ga bisa lanjut program dan sudah dihentikan kegiatan aktifnya di web.,kemarin email program henti giat aktif web
34,@rizkiagung.id sabar aja ya mas buat kita yang gugur karena sistem,sabar gugur sistem
35,@dianicoputra case nya sama kayak saya mas,case kayak
36,Ada yg ikut stupen di metrodata academy bagian network security ga ?? Kalo ada dm dong mau tanya tanya,stupen metrodata academy network security dm
37,"kak, magang mbkm udah bener2 ditutup pendaftaran ya? :(",magang mbkm benar tutup daftar
38,@rahman_andika05 😢,
39,@aokviani16 status di webnya sudah hilang (tidak aktif) sebelumnya saya kejar info dari mitra dan helpdesk mengenai kelanjutan dan semua 1 statement tidak eligible dan status aktif akan berubah secara berkala,status webnya hilang aktif kejar informasi mitra helpdesk lanjut statement eligible status aktif ubah kala
40,"@bchanh18_ mas kelanjutan nya gmna, di web nya Masi aktif? Tp ga ikut kegiatan magang? Nanti kalo pendanaan masuk gtu? Saya soalnya sama nih",lanjut web aktif giat magang dana masuk
41,"@yosifransiskasitepu perpanjang klo g ada mitra yg open recruitment baru, mau masuk mana lagi?😂",panjang mitra open recruitment masuk
42,"Keren ya ampe sekarang masih proses d sistem. Udah ga ngarep sih. Cuma lucu aja. Ya jgn keliatan bgt malesnya gtu buat provide sistem yg bisa auto reject. Masalah SR SPTJM lemot, ampe rejecting aja lemot. Halah WAKANDAAA FOREVER emg",keren proses sistem harap lucu banget malesnya provide sistem auto reject sr sptjm lambat rejecting lambat halah wakandaaa forever
43,Untuk angkatan ke 5 kapan ya min🥲,angkat
44,@ughaidams_,
45,@tria__pjl msib tu apa si😢,msib
46,Perpanjang lgi dong minnnn,panjang minnnn
47,"@mhmadrizallll gara"" nungguin di proses gua ngorbanin magang di notaris bang",gara tunggu proses korban magang notaris
48,"@letsunshinegoestowaste wkwk tapi emang disini saingannyaa sama yang udah ikutt,trus mereka ikut lagi wkwk Ya kan di setiap perusahaan udahh ada kriterianyaa tergantung orang yang daftarnyaa aja nyambung apa engga wkwkwkwk",wkwk saingannyaa ikutttrus wkwk usaha kriterianyaa gantung orang daftarnyaa sambung wkwkwkwk
49,"Izin tanya masih kaum awam , ini link nya kenapa ga bisa dibuka ya?",izin kaum awam link buka
50,"Bagi yang kecewa menunggu dengan tulisan masih diproses. Daftar MSIB itu kaya apply kerja, daftar dibanyak perusahaan, ikutin interview yang ada, follow up jika ada yg menerima. Karna kalo daftar 1 per satu, toh sudah pasti penerimaan bakal dikabarin di dekat akhir pendaftaran MSIB, jangan berharap pada 1 tempat saja. Apply kerja juga jarang mengabari jika pendaftar itu tidak lolos. Bukan berarti mendukung hal tersebut, tapi memang begitu kenyataan yang ada. Lebih baik beradaptasi pada keadaan sekarang. Ambil pelajaran buat next batch 🔥🔥",kecewa tunggu tulis proses daftar msib kayak apply kerja daftar banyak usaha ikut interview follow up terima daftar terima dikabarin daftar msib harap apply kerja jarang abar daftar lolos dukung nyata adaptasi ambil ajar batch
51,@inayahhanp ??? 😭😭😭 kalo mereka gak pada daftar tapi skill set kitanya gak sesuai dengan kebutuhan mitra tetep aja gak bakal ada kesempatan 😭,daftar skill set kita sesuai butuh mitra sempat
52,@rahman_andika05 keren CT Corp,keren ct corp
53,@winaskuy3 @l_adyofthemoon,
54,rejec lurrrrr,rejec lurrrrr
55,"@dediindra_14 biar gak kecewa jangan terlalu berharap bang, gw juga ikut stupen di bnr test logic dapet 100% ajah kagak di terima berkas semua aman udah verified semua wkwk. Tapi Alhamdulillah mitra lain ada yg ngasih penawaran hehe",biar kecewa harap stupen test logic terima berkas aman verified wkwk alhamdulillah mitra asih tawar he
56,@nggiiuu sama aja euuy,euuy
57,"@dianicoputra ternyata ada yg lebih sakit lagi ya, udah diterima tapi ga eligible, ya masih mending siih bagibyg masih diproses semangat 🔥🔥🔥🔥",sakit terima eligible lebih baik bagibyg proses semangat
58,Kasih kejelasan dong min masa dari kapan tau masih diproses aja kl ditolak kasih kejelasannya,kasih jelas proses tolak kasih jelas
59,"Tolong dong yang udah ikut MSIB udah gausah daftar lagi kasih kesempatan buat yang lain , Allah tidak suka dengan manusia serakah yakgesyak🙏 emang paling keren kampus mengajar udahhh dia paham dan memberi relasi bagi yang belum mencoba. Fix kampus mengajarr paling mantep udah!!!",tolong msib enggak usah daftar kasih sempat allah suka manusia serakah yakgesyak keren kampus ajar udahhh paham relasi coba fix kampus mengajarr mantap
60,@reywooks sama kak,
61,Mbon ya nek ga di trima itu langsung di kasi keterangan jdi kita ga ngorbanin waktu kita buat nunggu yg kek ginian,mbon nek terima langsung kasih terang korban tunggu kayak
62,"@akhsannurkholish ya bang,saya aja dapat email dan saya balas sampai sekarang gak ada keterangan",bangsaya email balas terang
63,"Info magang teknik mesin, para-para korban 'sedang diproses'",informasi magang teknik mesin parapara korban proses
64,@pradana.du telat cari tempat magang lain gara-gara nungguin 'sedang diproses',lambat cari magang garagara tunggu proses
65,"@nggiiuu Oalah, kirain cuma aku",oalah
66,@bagasnagapraha jengkloooooong,jengkloooooong
67,@darryllaj ss lalu DM penasaran 😂😂,ss dm penasaran
68,"@theorifai pusing juga sih mas, pdhl materai asli, dokumen persis sama temen"" malah beda hasilnya wkwk. Thanks mas sarannya🫡",pusing materai asli dokumen persis teman beda hasil wkwk terima kasih saran
69,@darryllaj wah makin banyak yg mention tanyakan langsung ke msib ya,mention langsung msib
