,comment,clean,topic
0,Izin bertnya apakah studi idenpenden mitra programing bisa pindah kelas??,izin bertnya studi idenpenden mitra programing pindah kelas,0
1,Dapat uang saku gaksih,uang saku gaksih,1
2,@rwrt1.0 kelas full english kak batch ini,kelas full english batch,0
3,"Saya, saya bang ga lolos msib",lolos msib,0
4,🔥🔥,,0
5,@syanasblaa lanjut dm kak,dm,2
6,@fajaroktaladi aku,,0
7,Anak semeater 4 bisa kah ikut?,anak semeater kah,0
8,Kalau ikut program bangkit hrus bisa Inggris gk sih wkwk jjr aku gk bsa Inggris 😢,program bangkit inggris wkwk jjr inggris,1
9,@kanianiaaaa27,,0
10,"@alfie_reza oh oke kak, makasih infonya yaa",oh oke terima kasih info yaa,1
11,"@mamassss_25 sudah ditutup kak, kebetulan pendaftarannya udah dibuka dari oktober tahun kemarin",tutup daftar buka oktober kemarin,2
12,"@alfie_reza maaf numpang nanya kak, ini program bangkit pendaftarannya udah ditutup atau baru dibuka ya?",maaf numpang program bangkit daftar tutup buka,1
13,@una_8 hadirr🔥,hadirr,0
14,Heh nak bangkit @koo.chiko,heh nak bangkit chiko,1
15,@kahpisiregar undergraduate,undergraduate,0
16,@hogy_albani oalahh okee mas makasih infonyaa,oalahh okee terima kasih infonyaa,1
17,"@fajaroktaladi saya mas, cuma keknya gk diterima. Diproses mulu statusnya",kayak terima proses melulu status,1
18,🔥🔥🔥,,0
19,@kahpisiregar untuk undergraduate,undergraduate,0
20,Ada yg ikut stupend di metrodata academy bagian network security gaa? Kalo ada dm dongg mau tanya tanyaa😢,stupend metrodata academy network security gaa kalo dm dongg tanyaa,1
21,Program bangkit bisa untuk fresh graduate gak ?,program bangkit fresh graduate,1
22,0011101010101010101,,0
23,🔥🔥🔥,,0
24,🔥🔥,,0
25,🔥🔥,,0
26,0l0000,,0
27,🔥🔥,,0
28,Min pencairan bbh'nya kapan ya? Wkwk,cair bbh wkwk,1
29,Kacau,,0
30,"@theorifai oalahh, okeokee bang, thanks 🙏",oalahh okeokee terima kasih,1
31,@ statusnya aktif,status aktif,0
32,"@theorifai kalo diterima itu tandsnya gimana bang?, Apakah bukan status proses?",terima tandsnya status proses,1
33,@aokviani16 kemarin dapat email dr KM bahwa ga bisa lanjut program dan sudah dihentikan kegiatan aktifnya di web.,kemarin email dr km program henti giat aktif web,2
34,@rizkiagung.id sabar aja ya mas buat kita yang gugur karena sistem,id sabar gugur sistem,0
35,@dianicoputra case nya sama kayak saya mas,case kayak,2
36,Ada yg ikut stupen di metrodata academy bagian network security ga ?? Kalo ada dm dong mau tanya tanya,stupen metrodata academy network security kalo dm,1
37,"kak, magang mbkm udah bener2 ditutup pendaftaran ya? :(",magang mbkm bener tutup daftar,2
38,@rahman_andika05 😢,,0
39,@aokviani16 status di webnya sudah hilang (tidak aktif) sebelumnya saya kejar info dari mitra dan helpdesk mengenai kelanjutan dan semua 1 statement tidak eligible dan status aktif akan berubah secara berkala,status webnya hilang aktif kejar informasi mitra helpdesk kena statement eligible status aktif ubah,0
40,"@bchanh18_ mas kelanjutan nya gmna, di web nya Masi aktif? Tp ga ikut kegiatan magang? Nanti kalo pendanaan masuk gtu? Saya soalnya sama nih",gmna web aktif tp giat magang dana masuk gtu,2
41,"@yosifransiskasitepu perpanjang klo g ada mitra yg open recruitment baru, mau masuk mana lagi?😂",g mitra open recruitment masuk,1
42,"Keren ya ampe sekarang masih proses d sistem. Udah ga ngarep sih. Cuma lucu aja. Ya jgn keliatan bgt malesnya gtu buat provide sistem yg bisa auto reject. Masalah SR SPTJM lemot, ampe rejecting aja lemot. Halah WAKANDAAA FOREVER emg",keren ampe proses sistem udah ngarep lucu aja lihat banget malesnya gtu provide sistem auto reject sr sptjm lot ampe rejecting lot halah wakandaaa forever emg,1
43,Untuk angkatan ke 5 kapan ya min🥲,angkat,0
44,@ughaidams_,,0
45,@tria__pjl msib tu apa si😢,msib tu si,0
46,Perpanjang lgi dong minnnn,minnnn,0
47,"@mhmadrizallll gara"" nungguin di proses gua ngorbanin magang di notaris bang",gara nungguin proses ngorbanin magang notaris,2
48,"@letsunshinegoestowaste wkwk tapi emang disini saingannyaa sama yang udah ikutt,trus mereka ikut lagi wkwk Ya kan di setiap perusahaan udahh ada kriterianyaa tergantung orang yang daftarnyaa aja nyambung apa engga wkwkwkwk",wkwk emang saingannyaa ikutt trus wkwk usaha udahh kriterianyaa gantung orang daftarnyaa nyambung engga wkwkwkwk,2
49,"Izin tanya masih kaum awam , ini link nya kenapa ga bisa dibuka ya?",izin kaum awam link buka,1
50,"Bagi yang kecewa menunggu dengan tulisan masih diproses. Daftar MSIB itu kaya apply kerja, daftar dibanyak perusahaan, ikutin interview yang ada, follow up jika ada yg menerima. Karna kalo daftar 1 per satu, toh sudah pasti penerimaan bakal dikabarin di dekat akhir pendaftaran MSIB, jangan berharap pada 1 tempat saja. Apply kerja juga jarang mengabari jika pendaftar itu tidak lolos. Bukan berarti mendukung hal tersebut, tapi memang begitu kenyataan yang ada. Lebih baik beradaptasi pada keadaan sekarang. Ambil pelajaran buat next batch 🔥🔥",kecewa tunggu tulis proses daftar msib kaya apply kerja daftar usaha ikutin interview follow up terima karna daftar terima dikabarin daftar msib harap apply kerja jarang abar daftar lolos arti dukung nyata adaptasi ambil ajar batch,0
51,@inayahhanp ??? 😭😭😭 kalo mereka gak pada daftar tapi skill set kitanya gak sesuai dengan kebutuhan mitra tetep aja gak bakal ada kesempatan 😭,daftar skill set sesuai butuh mitra tetep,0
52,@rahman_andika05 keren CT Corp,keren ct corp,0
53,@winaskuy3 @l_adyofthemoon,,0
54,rejec lurrrrr,rejec lurrrrr,0
55,"@dediindra_14 biar gak kecewa jangan terlalu berharap bang, gw juga ikut stupen di bnr test logic dapet 100% ajah kagak di terima berkas semua aman udah verified semua wkwk. Tapi Alhamdulillah mitra lain ada yg ngasih penawaran hehe",biar kecewa harap stupen bnr test logic ajah terima berkas aman verified wkwk alhamdulillah mitra tawar he,2
56,@nggiiuu sama aja euuy,euuy,0
57,"@dianicoputra ternyata ada yg lebih sakit lagi ya, udah diterima tapi ga eligible, ya masih mending siih bagibyg masih diproses semangat 🔥🔥🔥🔥",nyata sakit terima eligible siih bagibyg proses semangat,1
58,Kasih kejelasan dong min masa dari kapan tau masih diproses aja kl ditolak kasih kejelasannya,kasih proses tolak kasih,1
59,"Tolong dong yang udah ikut MSIB udah gausah daftar lagi kasih kesempatan buat yang lain , Allah tidak suka dengan manusia serakah yakgesyak🙏 emang paling keren kampus mengajar udahhh dia paham dan memberi relasi bagi yang belum mencoba. Fix kampus mengajarr paling mantep udah!!!",tolong msib gausah daftar kasih allah suka manusia serakah yakgesyak emang keren kampus ajar udahhh paham relasi coba fix kampus mengajarr mantap udah,1
60,@reywooks sama kak,,0
61,Mbon ya nek ga di trima itu langsung di kasi keterangan jdi kita ga ngorbanin waktu kita buat nunggu yg kek ginian,mbon nek terima kasih langsung kasi terang ngorbanin nunggu ginian,1
62,"@akhsannurkholish ya bang,saya aja dapat email dan saya balas sampai sekarang gak ada keterangan",email balas terang,2
63,"Info magang teknik mesin, para-para korban 'sedang diproses'",info magang teknik mesin korban proses,2
64,@pradana.du telat cari tempat magang lain gara-gara nungguin 'sedang diproses',du lambat cari magang gara gara nungguin proses,2
65,"@nggiiuu Oalah, kirain cuma aku",oalah kirain,0
66,@bagasnagapraha jengkloooooong,jengkloooooong,0
67,@darryllaj ss lalu DM penasaran 😂😂,ss dm penasaran,2
68,"@theorifai pusing juga sih mas, pdhl materai asli, dokumen persis sama temen"" malah beda hasilnya wkwk. Thanks mas sarannya🫡",pusing pdhl materai asli dokumen persis temen beda hasil wkwk thanks saran,2
69,@darryllaj wah makin banyak yg mention tanyakan langsung ke msib ya,mention langsung msib,0
70,"Ternyata ngak cintaku aja yg diproses diterima apa ngak, pendaftaran msib ku juga di proses, nasib2😢",nyata ngak cinta proses terima ngak daftar msib ku proses nasib,1
71,"@theorifai mohon maaf mas, punya temen saya kan ttdnya dekan tetapi punya saya itu rektor. Tapi temen saya yg eligible tetapi punyaku gak, udah saya bandingin dokumenku sama dokumen temenku, diliat"" sama"" aja. Yang bikin beda emng apa ya?",mohon maaf teman ttdnya dekan rektor teman eligible bandingin dokumen dokumen temenku liat aja bikin beda,0
72,@3ci___3 mewakili bgt :),wakil banget,0
73,@syarbinilucky sekalian provide fitur cek eligibilitas berkas mandiri yg resmi,provide fitur cek eligibilitas berkas mandiri resmi,1
74,"Lebih baik buat pengumuman ""kesempatan 2 hari lagi buat ganti berkas"" 🔥",ganti berkas,1
75,"di sistem berkas udah eligible, tapi dari mitra menyatakan berkas non eligible, keluar nya SK dari kemendikbudristek ni?",sistem berkas eligible mitra nyata berkas non eligible sk kemendikbudristek ni,1
76,@agnespmhrn benar bgt. Melepas hal lain hanya utk MSIB :(. Sedih parah,bgt lepas msib sedih parah,0
77,@mas.paijho sabarrr gess 🙌,paijho sabarrr gess,0
78,@bro.swryz gpp mas kami mendukung kok untuk protes. Mitra jg banyak rugi kok udah menerima eh banyak gugur jamaah,dukung protes mitra rugi terima eh gugur jamaah,1
79,@mas.paijho alhamdulillah smatbilling terbaik untuknsaat ini😂,paijho alhamdulillah smatbilling untuknsaat,2
80,@mas.paijho benar bung semangat,paijho semangat,2
81,"please dong ditolak aja itu di web kalo emang udah gada harapan, jangan diproses terus. bikin ngarep tau ngga🙂",please tolak web emang gada harap proses bikin ngarep ngga,2
82,"Rada² lucu si yaa sampe skrng masih bilang ""diproses"", setidaknya kasi tau lah ya kalo emang kita gak lolos gitu, gatau apa orang bolak-balik kampus cuma nyari ttd biar bisa daftar, tapi ya sudahlah yaaa!! Semangat guyss @wandaaaaah_ @hafiaturrodiah",rada lucu si yaa skrng bilang proses kasi emang lolos gitu gatau orang bolak kampus cari ttd biar daftar yaaa semangat guyss,2
83,"@theorifai Ini cuma bentuk protes kami kok mas, yg mas katakan tentang mepet deadline atau kebenaran berkas itu sudah banyak dilakukan oleh mahasiswa tapi tetep ga ada jalan keluarnya hehe",bentuk protes deadline berkas laku mahasiswa tetep jalan he,2
84,@theorifai maaf kak kenapa tidak semua dokumen di cek? Kenapa masih banyak mahasiswa yang dinyatakan tidak lulus karna statusnya on review alias blm ditinjau?,maaf dokumen cek mahasiswa nyata lulus status on review alias tinjau,1
85,@shntiarf kasi tau😹🤣,kasi tau,0
86,@theorifai udah jauh hari om daftarnya sebelum DL daftar malah diundur dan kebanyakan deh yg daftar,om daftar dl daftar undur deh daftar,0
87,@bro.swryz ada plus minus kok dgn sistem ini. Next kalau daftar ga mendadak2 submitnya dan pastikan semua bener. Ga asal2.,plus minus sistem next daftar dadak submitnya bener,0
88,"@theorifai Yasudah kalau memang begitu, Memang faktanya kayak gitu mas di batch ini, kami yg dianggap ga eligible blm tentu salah karena beberapa kasus berjalan tidak sinkron seperti lolosnya peserta banding yg merupakan proses tinjau ulang bukan revisi. Lalu penutupan banding tgl 27, tp di tgl 28 peserta blm tau status dokumennya dan hingga onboarding hari ini pun masih ada yg statusnya on-review alias masih dicek. Apa ngga merugikan kalau gitu. Kalau mitra masnya masih ikut batch ini harusnya paham kondisi mahasiswa. Bahkan mitra saya aja masih memperjuangkan dan memberikan kesempatan hingga akhir dan tetap nyatanya saya tdk bisa ikut batch ini.",yasudah fakta kayak gitu batch anggap eligible salah jalan sinkron lolos banding rupa proses tinjau ulang revisi tutup banding tanggal tanggal status dokumen onboarding status on review alias cek rugi gitu mitra batch paham kondisi mahasiswa mitra juang nyata batch,0
89,"Gimana mau ,penerima tawaran dari mitra, sedangkan Web nya aj ,di Proses Mulu,. Udah ikut wawancara,dari tgl 9 kemarin dan sampai sekarang masi di proses😢😢",gimana terima tawar mitra web proses mulu udah wawancara tanggal kemarin proses,1
