comment,clean,label_manual,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
Izin bertnya apakah studi idenpenden mitra programing bisa pindah kelas??,izin bertnya studi idenpenden mitra programing pindah kelas,1,Netral,Netral,Netral,neutral,neutral
Dapat uang saku gaksih,uang saku gaksih,1,Netral,Negatif,Positif,neutral,neutral
@rwrt1.0 kelas full english kak batch ini,kelas full english batch,1,Positif,Netral,Netral,neutral,neutral
"Saya, saya bang ga lolos msib",lolos msib,0,Netral,Positif,Negatif,neutral,negative
@syanasblaa lanjut dm kak,dm,1,Netral,Netral,Netral,negative,neutral
Anak semeater 4 bisa kah ikut?,anak semeater kah,1,Netral,Negatif,Netral,negative,negative
"Kalau ikut program bangkit hrus bisa Inggris gk sih wkwk jjr aku gk bsa Inggris """,program bangkit inggris wkwk jjr inggris,0,Netral,Positif,Negatif,neutral,negative
"@alfie_reza oh oke kak, makasih infonya yaa",oh oke terima kasih info,1,Positif,Netral,Netral,neutral,neutral
"@mamassss_25 sudah ditutup kak, kebetulan pendaftarannya udah dibuka dari oktober tahun kemarin",tutup daftar buka oktober kemarin,1,Netral,Netral,Netral,neutral,neutral
"@alfie_reza maaf numpang nanya kak, ini program bangkit pendaftarannya udah ditutup atau baru dibuka ya?",maaf numpang program bangkit daftar tutup buka,1,Negatif,Netral,Netral,neutral,neutral
@una_8 hadirr%,hadir,1,Netral,Positif,Netral,negative,positive
Heh nak bangkit @koo.chiko,heh nak bangkit,1,Netral,Negatif,Negatif,negative,negative
@kahpisiregar undergraduate,undergraduate,1,Netral,Netral,Netral,negative,neutral
@hogy_albani oalahh okee mas makasih infonyaa,oalahh okee terima kasih infonyaa,1,Positif,Netral,Netral,neutral,positive
"@fajaroktaladi saya mas, cuma keknya gk diterima. Diproses mulu statusnya",kayak terima proses melulu status,0,Netral,Negatif,Negatif,negative,negative
@kahpisiregar untuk undergraduate,undergraduate,1,Netral,Netral,Netral,negative,neutral
"Ada yg ikut stupend di metrodata academy bagian network security gaa? Kalo ada dm dongg mau tanya tanyaa""",stupend metrodata academy network security dm tanyaa,1,Netral,Netral,Netral,neutral,neutral
Program bangkit bisa untuk fresh graduate gak ?,program bangkit fresh graduate,1,Positif,Netral,Netral,neutral,neutral
Min pencairan bbh'nya kapan ya? Wkwk,cair bbhnya wkwk,1,Netral,Positif,Netral,neutral,neutral
"@theorifai oalahh, okeokee bang, thanks O",oalahh okeokee terima kasih,1,Positif,Netral,Netral,neutral,positive
@ statusnya aktif,status aktif,1,Negatif,Netral,Netral,neutral,neutral
"@theorifai kalo diterima itu tandsnya gimana bang?, Apakah bukan status proses?",terima tandsnya status proses,1,Netral,Netral,Negatif,neutral,negative
@aokviani16 kemarin dapat email dr KM bahwa ga bisa lanjut program dan sudah dihentikan kegiatan aktifnya di web.,kemarin email program henti giat aktif web,1,Negatif,Netral,Netral,neutral,neutral
@rizkiagung.id sabar aja ya mas buat kita yang gugur karena sistem,sabar gugur sistem,0,Netral,Positif,Netral,negative,neutral
@dianicoputra case nya sama kayak saya mas,case kayak,1,Netral,Negatif,Netral,negative,neutral
Ada yg ikut stupen di metrodata academy bagian network security ga ?? Kalo ada dm dong mau tanya tanya,stupen metrodata academy network security dm,1,Netral,Netral,Netral,neutral,neutral
"kak, magang mbkm udah bener2 ditutup pendaftaran ya? :(",magang mbkm benar tutup daftar,0,Netral,Netral,Netral,neutral,negative
@aokviani16 status di webnya sudah hilang (tidak aktif) sebelumnya saya kejar info dari mitra dan helpdesk mengenai kelanjutan dan semua 1 statement tidak eligible dan status aktif akan berubah secara berkala,status webnya hilang aktif kejar informasi mitra helpdesk lanjut statement eligible status aktif ubah kala,0,Negatif,Netral,Netral,neutral,negative
"@bchanh18_ mas kelanjutan nya gmna, di web nya Masi aktif? Tp ga ikut kegiatan magang? Nanti kalo pendanaan masuk gtu? Saya soalnya sama nih",lanjut web aktif giat magang dana masuk,1,Negatif,Netral,Netral,neutral,neutral
"@yosifransiskasitepu perpanjang klo g ada mitra yg open recruitment baru, mau masuk mana lagi?",panjang mitra open recruitment masuk,0,Netral,Netral,Netral,neutral,negative
"Keren ya ampe sekarang masih proses d sistem. Udah ga ngarep sih. Cuma lucu aja. Ya jgn keliatan bgt malesnya gtu buat provide sistem yg bisa auto reject. Masalah SR SPTJM lemot, ampe rejecting aja lemot. Halah WAKANDAAA FOREVER emg",keren proses sistem harap lucu banget malesnya provide sistem auto reject sr sptjm lambat rejecting lambat halah wakandaaa forever,0,Negatif,Negatif,Negatif,negative,negative
Untuk angkatan ke 5 kapan ya minr,angkat,1,Netral,Netral,Netral,neutral,neutral
"@tria__pjl msib tu apa si""",msib,1,Netral,Positif,Netral,positive,negative
Perpanjang lgi dong minnnn,panjang minnnn,1,Negatif,Negatif,Negatif,negative,positive
"@mhmadrizallll gara"" nungguin di proses gua ngorbanin magang di notaris bang",gara tunggu proses korban magang notaris,0,Netral,Netral,Negatif,neutral,negative
"@letsunshinegoestowaste wkwk tapi emang disini saingannyaa sama yang udah ikutt,trus mereka ikut lagi wkwk Ya kan di setiap perusahaan udahh ada kriterianyaa tergantung orang yang daftarnyaa aja nyambung apa engga wkwkwkwk",wkwk saingannyaa ikutttrus wkwk usaha kriterianyaa gantung orang daftarnyaa sambung wkwkwkwk,0,Netral,Negatif,Netral,negative,negative
"Izin tanya masih kaum awam , ini link nya kenapa ga bisa dibuka ya?",izin kaum awam link buka,0,Netral,Netral,Negatif,negative,negative
"Bagi yang kecewa menunggu dengan tulisan masih diproses. Daftar MSIB itu kaya apply kerja, daftar dibanyak perusahaan, ikutin interview yang ada, follow up jika ada yg menerima. Karna kalo daftar 1 per satu, toh sudah pasti penerimaan bakal dikabarin di dekat akhir pendaftaran MSIB, jangan berharap pada 1 tempat saja. Apply kerja juga jarang mengabari jika pendaftar itu tidak lolos. Bukan berarti mendukung hal tersebut, tapi memang begitu kenyataan yang ada. Lebih baik beradaptasi pada keadaan sekarang. Ambil pelajaran buat next batch %%",kecewa tunggu tulis proses daftar msib kayak apply kerja daftar banyak usaha ikut interview follow up terima daftar terima dikabarin daftar msib harap apply kerja jarang abar daftar lolos dukung nyata adaptasi ambil ajar batch,2,Negatif,Negatif,Negatif,negative,negative
@inayahhanp ??? --- kalo mereka gak pada daftar tapi skill set kitanya gak sesuai dengan kebutuhan mitra tetep aja gak bakal ada kesempatan -,daftar skill set kita sesuai butuh mitra sempat,0,Netral,Netral,Negatif,neutral,negative
@rahman_andika05 keren CT Corp,keren ct corp,1,Positif,Positif,Netral,positive,positive
rejec lurrrrr,rejec lurrrrr,0,Netral,Negatif,Negatif,negative,negative
"@dediindra_14 biar gak kecewa jangan terlalu berharap bang, gw juga ikut stupen di bnr test logic dapet 100% ajah kagak di terima berkas semua aman udah verified semua wkwk. Tapi Alhamdulillah mitra lain ada yg ngasih penawaran hehe",biar kecewa harap stupen test logic terima berkas aman verified wkwk alhamdulillah mitra asih tawar he,1,Negatif,Negatif,Positif,positive,negative
@nggiiuu sama aja euuy,euuy,1,Netral,Positif,Negatif,positive,positive
"@dianicoputra ternyata ada yg lebih sakit lagi ya, udah diterima tapi ga eligible, ya masih mending siih bagibyg masih diproses semangat %%%%",sakit terima eligible lebih baik bagibyg proses semangat,0,Positif,Negatif,Negatif,positive,negative
Kasih kejelasan dong min masa dari kapan tau masih diproses aja kl ditolak kasih kejelasannya,kasih jelas proses tolak kasih jelas,0,Positif,Negatif,Netral,neutral,negative
