,comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
0,Izin bertnya apakah studi idenpenden mitra programing bisa pindah kelas??,izin bertnya apakah studi idenpenden mitra programing bisa pindah kelas,Netral,Netral,Netral,neutral,neutral
1,Dapat uang saku gaksih,dapat uang saku gaksih,Netral,Positif,Positif,neutral,neutral
2,@rwrt1.0 kelas full english kak batch ini,kelas full english kak batch ini,Positif,Netral,Netral,neutral,neutral
3,"Saya, saya bang ga lolos msib",saya saya bang tidak lolos msib,Netral,Negatif,Negatif,negative,negative
5,@syanasblaa lanjut dm kak,lanjut dm kak,Netral,Netral,Netral,neutral,neutral
6,@fajaroktaladi aku,aku,Netral,Positif,Netral,positive,neutral
7,Anak semeater 4 bisa kah ikut?,anak semeater bisa kah ikut,Netral,Netral,Netral,neutral,negative
8,Kalau ikut program bangkit hrus bisa Inggris gk sih wkwk jjr aku gk bsa Inggris 😢,kalau ikut program bangkit harus bisa inggris tidak sih wkwk jjr aku tidak bisa inggris,Positif,Negatif,Negatif,negative,negative
10,"@alfie_reza oh oke kak, makasih infonya yaa",oh oke kak terima kasih infonya iya,Positif,Netral,Netral,neutral,neutral
11,"@mamassss_25 sudah ditutup kak, kebetulan pendaftarannya udah dibuka dari oktober tahun kemarin",sudah ditutup kak kebetulan pendaftarannya sudah dibuka dari oktober tahun kemarin,Negatif,Netral,Netral,neutral,neutral
12,"@alfie_reza maaf numpang nanya kak, ini program bangkit pendaftarannya udah ditutup atau baru dibuka ya?",maaf numpang bertanya kak ini program bangkit pendaftarannya sudah ditutup atau baru dibuka iya,Negatif,Netral,Netral,neutral,neutral
13,@una_8 hadirr🔥,hadir,Netral,Positif,Netral,negative,positive
14,Heh nak bangkit @koo.chiko,heh nak bangkit,Netral,Negatif,Negatif,negative,negative
15,@kahpisiregar undergraduate,undergraduate,Netral,Netral,Netral,negative,neutral
16,@hogy_albani oalahh okee mas makasih infonyaa,oalahh okee mas terima kasih infonyaa,Positif,Netral,Netral,neutral,positive
17,"@fajaroktaladi saya mas, cuma keknya gk diterima. Diproses mulu statusnya",saya mas cuma kayaknya tidak diterima diproses melulu statusnya,Netral,Negatif,Negatif,negative,negative
19,@kahpisiregar untuk undergraduate,untuk undergraduate,Netral,Netral,Netral,neutral,neutral
20,Ada yg ikut stupend di metrodata academy bagian network security gaa? Kalo ada dm dongg mau tanya tanyaa😢,ada yang ikut stupend di metrodata academy bagian network security tidak kalau ada dm dong mau tanya tanyaa,Netral,Netral,Netral,neutral,neutral
21,Program bangkit bisa untuk fresh graduate gak ?,program bangkit bisa untuk fresh graduate tidak,Positif,Netral,Netral,neutral,neutral
28,Min pencairan bbh'nya kapan ya? Wkwk,min pencairan bbhnya kapan iya wkwk,Netral,Netral,Netral,neutral,neutral
30,"@theorifai oalahh, okeokee bang, thanks 🙏",oalahh okeokee bang terima kasih,Netral,Netral,Netral,positive,positive
31,@ statusnya aktif,statusnya aktif,Negatif,Netral,Netral,positive,neutral
32,"@theorifai kalo diterima itu tandsnya gimana bang?, Apakah bukan status proses?",kalau diterima itu tandsnya bagaimana bang apakah bukan status proses,Netral,Negatif,Negatif,neutral,negative
33,@aokviani16 kemarin dapat email dr KM bahwa ga bisa lanjut program dan sudah dihentikan kegiatan aktifnya di web.,kemarin dapat email dari kamu bahwa tidak bisa lanjut program dan sudah dihentikan kegiatan aktifnya di web,Negatif,Netral,Netral,neutral,neutral
34,@rizkiagung.id sabar aja ya mas buat kita yang gugur karena sistem,sabar saja iya mas buat kita yang gugur karena sistem,Netral,Negatif,Netral,neutral,neutral
35,@dianicoputra case nya sama kayak saya mas,case nya sama kayak saya mas,Netral,Netral,Netral,negative,neutral
36,Ada yg ikut stupen di metrodata academy bagian network security ga ?? Kalo ada dm dong mau tanya tanya,ada yang ikut stupen di metrodata academy bagian network security tidak kalau ada dm dong mau tanya tanya,Netral,Netral,Netral,neutral,neutral
37,"kak, magang mbkm udah bener2 ditutup pendaftaran ya? :(",kak magang mbkm sudah benar-benar ditutup pendaftaran iya,Negatif,Netral,Netral,neutral,negative
39,@aokviani16 status di webnya sudah hilang (tidak aktif) sebelumnya saya kejar info dari mitra dan helpdesk mengenai kelanjutan dan semua 1 statement tidak eligible dan status aktif akan berubah secara berkala,status di webnya sudah hilang tidak aktif sebelumnya saya kejar informasi dari mitra dan helpdesk mengenai kelanjutan dan semua statement tidak eligible dan status aktif akan berubah secara berkala,Negatif,Netral,Netral,negative,negative
40,"@bchanh18_ mas kelanjutan nya gmna, di web nya Masi aktif? Tp ga ikut kegiatan magang? Nanti kalo pendanaan masuk gtu? Saya soalnya sama nih",mas kelanjutan nya bagaimana di web nya masih aktif tapi tidak ikut kegiatan magang nanti kalau pendanaan masuk begitu saya soalnya sama ini,Negatif,Netral,Netral,neutral,neutral
41,"@yosifransiskasitepu perpanjang klo g ada mitra yg open recruitment baru, mau masuk mana lagi?😂",perpanjang kalau tidak ada mitra yang open recruitment baru mau masuk mana lagi,Netral,Netral,Netral,negative,negative
42,"Keren ya ampe sekarang masih proses d sistem. Udah ga ngarep sih. Cuma lucu aja. Ya jgn keliatan bgt malesnya gtu buat provide sistem yg bisa auto reject. Masalah SR SPTJM lemot, ampe rejecting aja lemot. Halah WAKANDAAA FOREVER emg",keren iya sampai sekarang masih proses di sistem sudah tidak mengharap sih cuma lucu saja iya jangan kelihatan banget malesnya begitu buat provide sistem yang bisa auto reject masalah sr sptjm lambat sampai rejecting saja lambat halah wakandaaa forever memang,Negatif,Negatif,Negatif,negative,negative
43,Untuk angkatan ke 5 kapan ya min🥲,untuk angkatan ke kapan iya min,Netral,Netral,Netral,neutral,neutral
45,@tria__pjl msib tu apa si😢,msib itu apa sih,Netral,Negatif,Netral,negative,negative
46,Perpanjang lgi dong minnnn,perpanjang lagi dong minnnn,Netral,Negatif,Negatif,negative,positive
47,"@mhmadrizallll gara"" nungguin di proses gua ngorbanin magang di notaris bang",gara menunggu di proses saya mengorbankan magang di notaris bang,Netral,Negatif,Negatif,negative,negative
48,"@letsunshinegoestowaste wkwk tapi emang disini saingannyaa sama yang udah ikutt,trus mereka ikut lagi wkwk Ya kan di setiap perusahaan udahh ada kriterianyaa tergantung orang yang daftarnyaa aja nyambung apa engga wkwkwkwk",wkwk tapi memang disini saingannyaa sama yang sudah ikutttrus mereka ikut lagi wkwk iya kan di setiap perusahaan sudah ada kriterianyaa tergantung orang yang daftarnyaa saja menyambung apa tidak wkwkwkwk,Positif,Negatif,Netral,negative,negative
49,"Izin tanya masih kaum awam , ini link nya kenapa ga bisa dibuka ya?",izin tanya masih kaum awam ini link nya kenapa tidak bisa dibuka iya,Netral,Negatif,Negatif,negative,negative
50,"Bagi yang kecewa menunggu dengan tulisan masih diproses. Daftar MSIB itu kaya apply kerja, daftar dibanyak perusahaan, ikutin interview yang ada, follow up jika ada yg menerima. Karna kalo daftar 1 per satu, toh sudah pasti penerimaan bakal dikabarin di dekat akhir pendaftaran MSIB, jangan berharap pada 1 tempat saja. Apply kerja juga jarang mengabari jika pendaftar itu tidak lolos. Bukan berarti mendukung hal tersebut, tapi memang begitu kenyataan yang ada. Lebih baik beradaptasi pada keadaan sekarang. Ambil pelajaran buat next batch 🔥🔥",bagi yang kecewa menunggu dengan tulisan masih diproses daftar msib itu kayak apply kerja daftar dibanyak perusahaan mengikuti interview yang ada follow up jika ada yang menerima karena kalau daftar per satu toh sudah pasti penerimaan bakal dikabarin di dekat akhir pendaftaran msib jangan berharap pada tempat saja apply kerja juga jarang mengabari jika pendaftar itu tidak lolos bukan berarti mendukung hal tersebut tapi memang begitu kenyataan yang ada lebih baik beradaptasi pada keadaan sekarang ambil pelajaran buat lanjut batch,Positif,Negatif,Negatif,negative,negative
51,@inayahhanp ??? 😭😭😭 kalo mereka gak pada daftar tapi skill set kitanya gak sesuai dengan kebutuhan mitra tetep aja gak bakal ada kesempatan 😭,kalau mereka tidak pada daftar tapi skill set kitanya tidak sesuai dengan kebutuhan mitra tetap saja tidak bakal ada kesempatan,Netral,Negatif,Negatif,negative,negative
52,@rahman_andika05 keren CT Corp,keren ct corp,Positif,Positif,Netral,positive,positive
54,rejec lurrrrr,rejec lurrrrr,Netral,Negatif,Negatif,negative,negative
55,"@dediindra_14 biar gak kecewa jangan terlalu berharap bang, gw juga ikut stupen di bnr test logic dapet 100% ajah kagak di terima berkas semua aman udah verified semua wkwk. Tapi Alhamdulillah mitra lain ada yg ngasih penawaran hehe",biar tidak kecewa jangan terlalu berharap bang saya juga ikut stupen di benar test logic dapat saja tidak di terima berkas semua aman sudah verified semua wkwk tapi alhamdulillah mitra lain ada yang mengasih penawaran he,Negatif,Negatif,Positif,positive,negative
56,@nggiiuu sama aja euuy,sama saja euuy,Netral,Negatif,Negatif,negative,positive
