comment,clean,sentimen,sentiment_indobert,sentiment_indobert_kotor,sentiment_roberta,sentiment_roberta_kotor
Izin bertnya apakah studi idenpenden mitra programing bisa pindah kelas??,izin bertnya apakah studi idenpenden mitra programing bisa pindah kelas,1,1,1,1,1
Dapat uang saku gaksih,dapat uang saku gaksih,1,2,2,1,1
@rwrt1.0 kelas full english kak batch ini,kelas full english kak batch ini,2,1,1,1,1
"Saya, saya bang ga lolos msib",saya saya bang tidak lolos msib,1,0,0,0,0
@syanasblaa lanjut dm kak,lanjut dm kak,1,1,1,1,1
@fajaroktaladi aku,aku,1,2,1,2,1
Anak semeater 4 bisa kah ikut?,anak semeater bisa kah ikut,1,1,1,1,0
Kalau ikut program bangkit hrus bisa Inggris gk sih wkwk jjr aku gk bsa Inggris ð¢,kalau ikut program bangkit harus bisa inggris tidak sih wkwk jjr aku tidak bisa inggris,2,0,0,0,0
"@alfie_reza oh oke kak, makasih infonya yaa",oh oke kak terima kasih infonya iya,2,1,1,1,1
"@mamassss_25 sudah ditutup kak, kebetulan pendaftarannya udah dibuka dari oktober tahun kemarin",sudah ditutup kak kebetulan pendaftarannya sudah dibuka dari oktober tahun kemarin,0,1,1,1,1
"@alfie_reza maaf numpang nanya kak, ini program bangkit pendaftarannya udah ditutup atau baru dibuka ya?",maaf numpang bertanya kak ini program bangkit pendaftarannya sudah ditutup atau baru dibuka iya,0,1,1,1,1
@una_8 hadirrð¥,hadir,1,2,1,0,2
Heh nak bangkit @koo.chiko,heh nak bangkit,1,0,0,0,0
@kahpisiregar undergraduate,undergraduate,1,1,1,0,1
@hogy_albani oalahh okee mas makasih infonyaa,oalahh okee mas terima kasih infonyaa,2,1,1,1,2
"@fajaroktaladi saya mas, cuma keknya gk diterima. Diproses mulu statusnya",saya mas cuma kayaknya tidak diterima diproses melulu statusnya,1,0,0,0,0
@kahpisiregar untuk undergraduate,untuk undergraduate,1,1,1,1,1
Ada yg ikut stupend di metrodata academy bagian network security gaa? Kalo ada dm dongg mau tanya tanyaað¢,ada yang ikut stupend di metrodata academy bagian network security tidak kalau ada dm dong mau tanya tanyaa,1,1,1,1,1
Program bangkit bisa untuk fresh graduate gak ?,program bangkit bisa untuk fresh graduate tidak,2,1,1,1,1
Min pencairan bbh'nya kapan ya? Wkwk,min pencairan bbhnya kapan iya wkwk,1,1,1,1,1
"@theorifai oalahh, okeokee bang, thanks ð",oalahh okeokee bang terima kasih,1,1,1,2,2
@ statusnya aktif,statusnya aktif,0,1,1,2,1
"@theorifai kalo diterima itu tandsnya gimana bang?, Apakah bukan status proses?",kalau diterima itu tandsnya bagaimana bang apakah bukan status proses,1,0,0,1,0
@aokviani16 kemarin dapat email dr KM bahwa ga bisa lanjut program dan sudah dihentikan kegiatan aktifnya di web.,kemarin dapat email dari kamu bahwa tidak bisa lanjut program dan sudah dihentikan kegiatan aktifnya di web,0,1,1,1,1
@rizkiagung.id sabar aja ya mas buat kita yang gugur karena sistem,sabar saja iya mas buat kita yang gugur karena sistem,1,0,1,1,1
@dianicoputra case nya sama kayak saya mas,case nya sama kayak saya mas,1,1,1,0,1
Ada yg ikut stupen di metrodata academy bagian network security ga ?? Kalo ada dm dong mau tanya tanya,ada yang ikut stupen di metrodata academy bagian network security tidak kalau ada dm dong mau tanya tanya,1,1,1,1,1
"kak, magang mbkm udah bener2 ditutup pendaftaran ya? :(",kak magang mbkm sudah benar-benar ditutup pendaftaran iya,0,1,1,1,0
@aokviani16 status di webnya sudah hilang (tidak aktif) sebelumnya saya kejar info dari mitra dan helpdesk mengenai kelanjutan dan semua 1 statement tidak eligible dan status aktif akan berubah secara berkala,status di webnya sudah hilang tidak aktif sebelumnya saya kejar informasi dari mitra dan helpdesk mengenai kelanjutan dan semua statement tidak eligible dan status aktif akan berubah secara berkala,0,1,1,0,0
"@bchanh18_ mas kelanjutan nya gmna, di web nya Masi aktif? Tp ga ikut kegiatan magang? Nanti kalo pendanaan masuk gtu? Saya soalnya sama nih",mas kelanjutan nya bagaimana di web nya masih aktif tapi tidak ikut kegiatan magang nanti kalau pendanaan masuk begitu saya soalnya sama ini,0,1,1,1,1
